order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
49,6,5,Soup,2024-08-30,16:00:00,Pending,422.46
50,32,3,Soup,2025-04-14,15:26:00,Pending,980.93
51,32,32,Noodles,2024-12-07,14:54:00,Cancelled,953.7
52,26,46,Burger,2024-12-13,15:05:00,Delivered,1198.42
53,8,27,Pizza,2024-09-04,13:48:00,Confirmed,1160.95
54,10,52,Burger,2025-05-01,14:04:00,Pending,358.82
55,6,57,Burger,2025-06-05,14:38:00,Delivered,978.66
56,8,4,Salad,2025-07-05,14:16:00,Pending,583.82
57,27,37,Salad,2025-07-02,14:44:00,Confirmed,1420.7
58,4,6,Roll,2025-04-13,16:30:00,Pending,1458.18
59,20,62,Pasta,2024-10-15,19:42:00,Delivered,516.48
60,13,47,Soup,2024-09-01,18:08:00,Pending,1411.85
61,24,48,Biryani,2025-04-29,11:02:00,Confirmed,538.73
62,10,30,Salad,2025-07-15,13:04:00,Cancelled,1183.4
63,1,1,Roll,2025-05-09,16:46:00,Delivered,511.15
64,16,67,Noodles,2024-09-30,19:37:00,Cancelled,579.73
65,12,20,Salad,2025-03-20,19:47:00,Pending,699.29
66,1,67,Roll,2025-03-19,19:41:00,Pending,720.93
67,20,34,Thali,2025-04-26,13:26:00,Confirmed,1473.51
68,17,57,Thali,2025-03-01,11:11:00,Delivered,766.48
69,30,7,Biryani,2025-07-22,17:33:00,Delivered,594.73
70,33,54,Roll,2024-12-24,15:13:00,Confirmed,783.51
71,15,47,Biryani,2024-09-20,11:39:00,Confirmed,707.06
72,13,22,Pizza,2025-01-23,15:38:00,Delivered,351.39
73,27,51,Roll,2024-09-18,15:09:00,Delivered,877.03
74,25,30,Noodles,2025-07-04,21:35:00,Confirmed,1391.85
75,7,54,Thali,2025-01-15,19:19:00,Delivered,448.24
76,33,31,Noodles,2024-09-01,15:35:00,Confirmed,469.96
77,21,66,Soup,2024-12-18,21:11:00,Confirmed,1029.86
78,32,63,Biryani,2025-08-02,22:55:00,Delivered,1474.84
79,23,66,Soup,2024-10-28,11:10:00,Pending,1248.02
80,5,3,Noodles,2025-07-26,18:08:00,Confirmed,1469.86
81,21,19,Sandwich,2025-01-20,15:45:00,Confirmed,1340.31
82,27,64,Roll,2025-05-12,21:04:00,Cancelled,380.31
83,19,56,Pasta,2025-02-05,16:47:00,Confirmed,342.07
84,34,31,Soup,2025-01-12,11:13:00,Pending,892.46
85,25,11,Salad,2025-03-27,14:25:00,Delivered,1315.02
86,13,13,Sandwich,2025-06-11,14:51:00,Delivered,757.55
87,4,8,Pasta,2025-07-01,15:20:00,Delivered,1258.96
88,2,6,Thali,2024-09-26,22:34:00,Pending,188.38
89,11,29,Burger,2025-03-16,22:00:00,Delivered,223.09
90,33,2,Pasta,2024-11-26,17:16:00,Pending,500.01
91,7,30,Thali,2025-08-03,19:49:00,Confirmed,448.65
92,30,32,Thali,2025-08-16,17:53:00,Cancelled,1411.55
93,34,23,Thali,2025-07-23,12:07:00,Delivered,1475.47
94,29,31,Pasta,2025-05-19,19:58:00,Delivered,1086.58
95,4,15,Pasta,2025-02-14,10:29:00,Confirmed,628.47
96,22,63,Pasta,2024-11-30,13:57:00,Delivered,944.38
97,18,35,Sandwich,2025-06-07,11:43:00,Confirmed,566.6
98,3,42,Salad,2024-11-16,17:55:00,Delivered,218.48
99,34,16,Soup,2024-12-11,22:32:00,Confirmed,193.51
100,23,38,Thali,2025-01-07,15:02:00,Confirmed,652.04
101,3,46,Salad,2025-01-01,12:46:00,Cancelled,654.57
102,12,20,Roll,2025-01-24,13:07:00,Cancelled,1404.13
103,11,19,Soup,2025-03-17,10:22:00,Pending,286.97
104,29,26,Thali,2025-05-29,12:25:00,Delivered,1099.22
105,33,41,Pizza,2025-05-10,13:54:00,Cancelled,996.47
106,29,62,Burger,2025-03-26,18:04:00,Delivered,1259.15
107,4,64,Noodles,2025-06-17,11:32:00,Delivered,410.7
108,33,6,Sandwich,2024-10-26,10:04:00,Confirmed,1230.19
109,21,65,Burger,2025-01-22,10:08:00,Pending,974.29
110,34,50,Biryani,2025-04-02,21:13:00,Delivered,1233.99
111,30,35,Sandwich,2025-07-24,22:45:00,Delivered,679.02
112,20,16,Biryani,2025-08-04,21:34:00,Cancelled,842.17
113,19,43,Sandwich,2025-02-04,14:14:00,Confirmed,1048.92
114,7,37,Burger,2025-01-31,15:05:00,Confirmed,864.83
115,24,31,Biryani,2025-03-09,13:00:00,Cancelled,968.9
116,11,34,Sandwich,2025-05-17,10:10:00,Delivered,172.03
117,15,16,Burger,2025-07-24,22:44:00,Confirmed,1297.8
118,10,50,Soup,2025-02-05,20:56:00,Cancelled,159.27
119,29,4,Biryani,2024-09-18,10:51:00,Confirmed,1229.78
120,8,19,Burger,2025-08-23,11:01:00,Delivered,1033.82
121,5,21,Pizza,2024-10-13,21:58:00,Confirmed,479.06
122,17,60,Roll,2024-11-27,19:45:00,Pending,771.56
123,1,51,Soup,2024-12-25,18:02:00,Cancelled,907.57
124,6,4,Noodles,2024-09-27,12:03:00,Pending,1099.15
125,16,58,Burger,2025-02-11,18:07:00,Pending,1197.66
126,19,38,Salad,2024-12-03,15:36:00,Confirmed,637.74
127,33,55,Noodles,2024-10-13,13:14:00,Pending,856.74
128,12,4,Soup,2025-01-08,11:36:00,Cancelled,751.42
129,35,5,Biryani,2025-08-19,21:34:00,Pending,268.36
130,5,56,Soup,2025-03-10,10:03:00,Confirmed,719.88
131,24,10,Salad,2025-08-26,10:46:00,Cancelled,1105.08
132,33,36,Noodles,2025-01-27,17:58:00,Delivered,916.7
133,29,69,Roll,2024-12-19,19:30:00,Confirmed,484.68
134,7,12,Noodles,2024-12-24,12:23:00,Delivered,680.82
135,15,22,Pizza,2025-03-16,22:54:00,Delivered,284.03
136,23,63,Burger,2025-07-20,18:32:00,Delivered,406.38
137,18,27,Sandwich,2024-10-03,11:30:00,Delivered,1438.49
138,19,61,Thali,2024-10-26,22:19:00,Cancelled,871.99
139,29,49,Pasta,2025-01-22,15:59:00,Pending,201.73
140,28,16,Pizza,2025-05-23,14:05:00,Cancelled,920.2
141,10,65,Soup,2024-09-14,18:38:00,Cancelled,575.14
142,28,21,Thali,2024-11-05,19:24:00,Confirmed,1062.09
143,3,24,Burger,2025-06-14,13:03:00,Cancelled,1138.32
144,9,50,Roll,2025-04-23,21:03:00,Pending,852.56
145,34,1,Roll,2025-03-19,10:35:00,Delivered,269.04
146,19,58,Pasta,2024-09-07,11:15:00,Confirmed,626.54
147,32,38,Biryani,2025-01-04,15:35:00,Delivered,1108.93
148,8,23,Pasta,2025-05-09,18:12:00,Delivered,1024.7
149,16,45,Pasta,2024-11-16,12:04:00,Confirmed,163.46
150,8,20,Noodles,2025-03-27,15:56:00,Cancelled,1042.4
151,34,70,Noodles,2024-11-17,10:31:00,Delivered,301.12
152,2,16,Noodles,2025-07-16,17:22:00,Confirmed,272.66
153,34,59,Pasta,2024-12-26,10:29:00,Delivered,1153.7
154,11,68,Burger,2025-03-21,18:37:00,Pending,1169.85
155,6,11,Pizza,2025-03-08,17:38:00,Delivered,1381.84
156,27,20,Noodles,2024-09-25,11:30:00,Cancelled,1211.28
157,6,60,Roll,2025-06-22,10:27:00,Pending,1176.54
158,32,3,Thali,2024-10-16,19:14:00,Delivered,164.37
159,24,23,Noodles,2024-10-03,12:16:00,Cancelled,515.24
160,13,31,Biryani,2025-01-30,11:20:00,Cancelled,513.79
161,15,36,Salad,2024-08-31,22:26:00,Confirmed,1218.1
162,29,67,Pizza,2025-05-04,20:45:00,Cancelled,1079.63
163,19,43,Roll,2024-11-13,12:33:00,Delivered,1086.95
164,16,62,Thali,2024-12-06,13:36:00,Delivered,904.82
165,5,50,Noodles,2025-05-07,17:53:00,Delivered,861.89
166,8,19,Sandwich,2025-08-06,16:17:00,Delivered,597.97
167,13,48,Soup,2025-06-17,17:24:00,Pending,1044.02
168,13,10,Noodles,2025-01-27,22:57:00,Pending,696.57
169,3,56,Pizza,2025-02-07,20:13:00,Pending,507.83
170,13,66,Burger,2025-05-10,19:08:00,Confirmed,1234.72
171,21,30,Thali,2024-11-30,16:51:00,Pending,1259.64
172,35,9,Sandwich,2025-05-29,16:48:00,Cancelled,863.33
173,5,34,Noodles,2024-12-25,21:21:00,Cancelled,923.8
174,22,42,Noodles,2024-10-06,17:48:00,Pending,763.76
175,30,29,Pasta,2025-07-15,11:06:00,Delivered,323.72
176,17,8,Roll,2025-02-17,17:39:00,Confirmed,885.56
177,14,66,Noodles,2025-03-14,20:08:00,Pending,932.12
178,34,50,Salad,2025-02-28,15:45:00,Confirmed,1113.98
179,30,41,Biryani,2025-03-22,19:12:00,Cancelled,622.19
180,9,29,Pasta,2024-12-30,10:33:00,Cancelled,686.79
181,6,58,Biryani,2025-04-24,17:13:00,Delivered,355.25
182,17,32,Salad,2025-08-07,20:24:00,Delivered,495.88
183,35,38,Salad,2025-01-18,15:58:00,Delivered,1168.24
184,10,17,Pizza,2025-05-14,21:08:00,Delivered,1310.74
185,26,8,Sandwich,2025-01-23,13:25:00,Delivered,637.62
186,27,62,Pasta,2025-03-11,19:59:00,Delivered,453.83
187,23,15,Noodles,2025-08-26,14:38:00,Delivered,1087.22
188,13,5,Biryani,2024-08-28,14:50:00,Pending,1326.09
189,18,3,Soup,2024-10-13,19:32:00,Delivered,1276.47
190,21,50,Sandwich,2024-12-23,13:13:00,Confirmed,851.75
191,33,16,Salad,2024-12-15,12:08:00,Pending,942.56
192,32,58,Salad,2024-10-13,16:47:00,Delivered,740.78
193,8,57,Salad,2025-01-29,10:36:00,Pending,317.75
194,34,27,Roll,2024-11-14,19:53:00,Pending,507.41
195,12,61,Pizza,2025-07-16,11:30:00,Pending,1179.5
196,26,47,Pizza,2024-09-23,19:09:00,Delivered,795.16
197,8,46,Pizza,2024-09-04,14:33:00,Delivered,534.32
198,29,25,Biryani,2025-07-29,16:10:00,Delivered,929.72
199,8,6,Soup,2025-08-24,11:51:00,Delivered,805.37
200,21,3,Thali,2024-11-15,16:41:00,Delivered,278.15
201,21,46,Salad,2025-06-17,20:10:00,Delivered,544.72
202,3,10,Salad,2025-07-22,22:05:00,Pending,1133.19
203,9,36,Pasta,2025-01-31,22:14:00,Delivered,538.14
204,25,9,Roll,2025-03-29,22:24:00,Pending,564.85
205,23,57,Pasta,2025-01-04,18:05:00,Delivered,1358.04
206,3,58,Thali,2025-03-11,16:59:00,Delivered,495.04
207,5,22,Noodles,2024-09-07,13:09:00,Cancelled,633.94
208,14,62,Roll,2024-12-19,10:55:00,Cancelled,1044.61
209,21,31,Noodles,2025-06-11,18:15:00,Delivered,266.62
210,32,37,Soup,2025-03-22,12:01:00,Pending,966.01
211,31,61,Thali,2025-04-16,12:24:00,Delivered,819.55
212,8,40,Noodles,2024-12-28,13:06:00,Cancelled,981.03
213,27,58,Roll,2025-05-07,22:01:00,Cancelled,1350.28
214,26,44,Roll,2025-04-29,12:29:00,Pending,540.17
215,13,70,Thali,2025-05-04,15:10:00,Pending,246.95
216,11,43,Thali,2025-01-11,20:21:00,Confirmed,964.12
217,18,10,Thali,2025-05-25,20:35:00,Confirmed,711.67
218,10,62,Pizza,2025-01-09,11:57:00,Cancelled,868.9
219,15,19,Burger,2024-11-26,19:55:00,Confirmed,851.65
220,27,62,Thali,2024-10-16,15:30:00,Delivered,351.97
221,10,26,Sandwich,2025-05-22,15:11:00,Delivered,1487.58
222,28,26,Soup,2025-02-23,22:53:00,Pending,736.48
223,32,52,Thali,2025-01-24,14:31:00,Cancelled,821.64
224,28,34,Roll,2024-10-07,15:16:00,Confirmed,573.37
225,25,31,Burger,2025-08-25,10:41:00,Delivered,1176.77
226,32,22,Thali,2025-08-07,10:33:00,Cancelled,384.28
227,12,7,Sandwich,2024-09-18,18:14:00,Pending,1149.28
228,18,29,Pasta,2025-05-31,22:49:00,Delivered,506.18
229,11,31,Soup,2024-11-19,11:12:00,Confirmed,373.96
230,9,33,Roll,2025-06-18,19:57:00,Delivered,1206.91
231,9,15,Soup,2025-05-20,17:33:00,Delivered,508.24
232,19,2,Burger,2025-04-19,17:50:00,Pending,705.3
233,20,10,Noodles,2025-01-07,12:26:00,Pending,967.95
234,5,7,Soup,2025-05-01,22:49:00,Cancelled,1491.05
235,18,63,Sandwich,2025-03-05,14:32:00,Confirmed,889.98
236,31,32,Pasta,2025-08-05,10:16:00,Confirmed,345.83
237,10,18,Thali,2025-08-14,11:08:00,Cancelled,1294.88
238,19,31,Noodles,2024-11-01,22:18:00,Confirmed,539.7
239,10,69,Salad,2025-07-02,22:25:00,Cancelled,1398.91
240,12,12,Burger,2024-10-28,18:37:00,Pending,212.59
241,24,21,Sandwich,2025-05-07,18:00:00,Cancelled,396.06
242,20,63,Sandwich,2025-07-05,10:51:00,Pending,875.29
243,1,24,Soup,2025-02-20,16:54:00,Confirmed,1015.03
244,12,23,Salad,2025-04-22,18:33:00,Cancelled,517.77
245,35,54,Noodles,2025-06-06,13:45:00,Pending,379.38
246,2,62,Pasta,2024-10-20,16:06:00,Confirmed,268.83
247,31,16,Thali,2025-03-16,16:17:00,Cancelled,266.8
248,29,24,Noodles,2024-10-12,21:57:00,Cancelled,311.03
249,23,36,Noodles,2024-12-28,18:05:00,Cancelled,781.3
250,34,48,Noodles,2025-03-18,11:20:00,Confirmed,1270.64
251,11,56,Burger,2025-06-10,18:32:00,Confirmed,227.1
252,20,66,Soup,2024-11-20,11:27:00,Cancelled,1320.59
253,20,30,Thali,2024-11-13,14:55:00,Pending,1019.89
254,24,33,Soup,2024-11-05,20:45:00,Delivered,1055.65
255,17,42,Pasta,2025-04-23,21:53:00,Pending,573.06
256,30,46,Roll,2024-12-24,21:47:00,Pending,1101.72
257,2,19,Burger,2025-02-21,10:55:00,Delivered,157.56
258,33,1,Roll,2025-05-23,14:25:00,Confirmed,455.26
259,19,21,Sandwich,2025-07-21,11:41:00,Pending,874.8
260,26,4,Roll,2025-07-12,13:00:00,Confirmed,1374.89
261,16,54,Biryani,2025-05-09,19:07:00,Pending,932.03
262,16,7,Pizza,2024-09-10,10:42:00,Pending,1185.63
263,25,53,Thali,2025-07-09,22:58:00,Delivered,1486.63
264,13,41,Soup,2025-04-14,14:44:00,Cancelled,1003.57
265,34,4,Biryani,2025-07-19,15:30:00,Confirmed,712.85
266,16,36,Sandwich,2025-06-02,15:58:00,Confirmed,901.19
267,14,48,Sandwich,2025-04-10,19:56:00,Cancelled,1421.12
268,35,55,Roll,2025-01-23,16:04:00,Pending,248.96
269,24,41,Sandwich,2024-10-04,18:58:00,Confirmed,615.97
270,21,58,Salad,2024-12-11,16:15:00,Delivered,1051.48
271,11,39,Roll,2025-01-06,13:42:00,Cancelled,463.05
272,17,21,Salad,2025-04-03,17:38:00,Cancelled,1190.99
273,32,21,Salad,2024-10-12,22:25:00,Pending,1456.35
274,3,40,Pasta,2025-06-07,14:23:00,Delivered,188.63
275,35,38,Noodles,2025-04-06,18:15:00,Pending,1112.33
276,24,4,Pasta,2024-11-04,20:45:00,Delivered,218.98
277,18,18,Burger,2025-02-09,13:56:00,Cancelled,1087.41
278,7,70,Soup,2025-02-08,18:53:00,Delivered,1008.14
279,16,54,Soup,2024-09-16,22:20:00,Delivered,582.9
280,27,22,Burger,2025-03-07,10:28:00,Cancelled,214.83
281,31,8,Biryani,2025-06-13,12:23:00,Pending,1368.3
282,17,37,Noodles,2025-07-04,20:43:00,Pending,885.15
283,25,36,Biryani,2024-09-22,21:42:00,Delivered,1417.3
284,30,3,Biryani,2025-04-22,17:31:00,Cancelled,692.66
285,1,53,Sandwich,2024-10-14,21:14:00,Pending,1174.55
286,35,59,Salad,2025-02-22,16:22:00,Delivered,756.72
287,9,54,Roll,2024-11-13,15:17:00,Delivered,289.42
288,5,19,Soup,2025-04-19,15:47:00,Cancelled,322.67
289,24,45,Pizza,2025-05-11,15:31:00,Pending,1324.46
290,9,62,Soup,2025-07-12,18:36:00,Cancelled,483.39
291,14,70,Soup,2025-03-20,19:14:00,Cancelled,565.53
292,31,35,Pizza,2024-09-25,19:11:00,Delivered,847.99
293,28,38,Soup,2024-12-26,10:43:00,Delivered,1249.86
294,33,54,Sandwich,2024-12-15,17:11:00,Pending,409.86
295,23,24,Noodles,2025-02-20,16:10:00,Cancelled,1133.99
296,14,29,Thali,2024-09-05,11:19:00,Cancelled,1316.57
297,26,20,Pizza,2024-09-09,18:31:00,Delivered,757.62
298,19,42,Burger,2025-06-28,21:12:00,Confirmed,974.73
299,20,53,Biryani,2024-09-10,10:57:00,Delivered,428.09
300,25,60,Salad,2025-06-03,16:49:00,Pending,882.99
301,11,64,Noodles,2024-09-20,16:08:00,Delivered,1480.03
302,25,24,Thali,2024-11-04,10:17:00,Delivered,884.9
303,1,60,Biryani,2025-07-11,20:10:00,Confirmed,715.93
304,8,40,Biryani,2024-12-25,17:39:00,Pending,996.52
305,28,13,Sandwich,2024-09-20,11:03:00,Confirmed,1330.76
306,32,25,Pizza,2024-08-28,15:42:00,Delivered,1497.84
307,18,20,Soup,2024-11-20,16:58:00,Cancelled,936.92
308,5,56,Biryani,2025-06-29,15:07:00,Pending,1434.93
309,32,26,Soup,2025-07-20,16:22:00,Cancelled,1070.2
310,23,53,Sandwich,2025-06-11,17:28:00,Pending,854.38
311,32,20,Burger,2025-07-25,20:20:00,Pending,1264.7
312,28,29,Biryani,2025-03-23,20:03:00,Confirmed,1357.63
313,11,48,Roll,2024-09-14,22:18:00,Confirmed,521.75
314,7,51,Burger,2025-03-09,16:02:00,Confirmed,324.42
315,28,37,Soup,2025-01-28,21:43:00,Pending,403.47
316,21,20,Noodles,2024-12-03,19:05:00,Cancelled,997.23
317,20,19,Soup,2025-08-07,14:26:00,Confirmed,1330.16
318,4,33,Biryani,2025-06-05,15:05:00,Cancelled,467.39
319,27,17,Salad,2025-08-16,21:01:00,Confirmed,1195.73
320,17,54,Pasta,2024-09-16,20:14:00,Pending,1204.49
321,29,61,Salad,2024-11-06,10:38:00,Cancelled,1373.28
322,22,57,Sandwich,2025-05-01,14:28:00,Confirmed,1121.13
323,1,8,Sandwich,2025-03-16,11:44:00,Cancelled,566.11
324,8,49,Thali,2025-03-02,17:06:00,Confirmed,1124.07
325,16,18,Sandwich,2025-07-27,15:00:00,Confirmed,1239.31
326,32,58,Soup,2024-09-18,17:40:00,Delivered,1198.57
327,7,55,Roll,2025-03-28,14:06:00,Pending,779.78
328,27,45,Pizza,2024-09-03,21:06:00,Delivered,849.88
329,35,31,Biryani,2024-09-30,21:26:00,Delivered,158.91
330,16,6,Soup,2024-09-07,19:34:00,Pending,1095.05
331,19,45,Biryani,2025-02-23,16:42:00,Delivered,1442.03
332,20,11,Burger,2025-01-31,10:00:00,Pending,1311.55
333,22,68,Thali,2025-03-27,22:27:00,Confirmed,620.13
334,3,60,Noodles,2025-07-31,20:46:00,Delivered,776.64
335,6,35,Sandwich,2025-01-25,13:20:00,Cancelled,869.8
336,22,41,Noodles,2025-08-14,18:25:00,Cancelled,613.51
337,1,5,Roll,2025-07-05,20:54:00,Delivered,943.69
338,18,35,Thali,2025-06-06,10:32:00,Pending,798.3
339,30,48,Thali,2025-05-25,15:28:00,Cancelled,1473.45
340,25,51,Biryani,2025-05-18,12:54:00,Pending,557.17
341,6,34,Pasta,2025-07-30,10:21:00,Pending,156.53
342,10,28,Soup,2024-10-21,21:48:00,Delivered,1304.12
343,16,22,Pasta,2025-07-10,10:35:00,Delivered,1451.38
344,23,33,Sandwich,2025-06-19,20:03:00,Confirmed,507.8
345,23,46,Thali,2025-03-29,22:51:00,Pending,207.44
346,12,37,Burger,2025-01-04,19:59:00,Confirmed,232.56
347,35,61,Pasta,2025-07-08,13:18:00,Delivered,324.04
348,25,61,Sandwich,2025-06-30,12:48:00,Delivered,1221.27
349,15,41,Noodles,2025-04-20,15:06:00,Delivered,1023.93
350,3,40,Salad,2024-11-26,20:22:00,Cancelled,746.02
351,27,55,Biryani,2025-02-03,19:07:00,Delivered,495.45
352,15,2,Salad,2024-11-28,18:35:00,Pending,394.19
353,17,38,Burger,2025-03-10,10:29:00,Confirmed,1293.32
354,14,51,Noodles,2025-08-08,21:56:00,Delivered,1386.1
355,16,4,Biryani,2024-11-28,15:16:00,Cancelled,222.46
356,23,2,Roll,2025-03-08,16:28:00,Pending,1343.57
357,16,64,Biryani,2025-01-10,14:04:00,Pending,322.63
358,23,35,Soup,2025-01-16,19:44:00,Cancelled,1476.66
359,9,66,Roll,2024-12-02,16:43:00,Confirmed,1123.62
360,26,50,Pasta,2025-08-19,17:35:00,Pending,924.58
361,15,28,Biryani,2024-12-17,16:11:00,Cancelled,524.35
362,32,70,Thali,2024-12-27,14:27:00,Pending,436.87
363,17,21,Pasta,2024-10-26,21:46:00,Delivered,150.19
364,18,45,Soup,2025-06-10,21:03:00,Delivered,1122.37
365,4,1,Sandwich,2025-02-28,19:22:00,Confirmed,1124.76
366,16,52,Noodles,2025-07-16,19:06:00,Delivered,1283.58
367,11,59,Noodles,2025-07-15,16:13:00,Confirmed,198.85
368,10,41,Sandwich,2025-07-11,15:31:00,Pending,1201.64
369,30,22,Soup,2025-04-27,16:16:00,Pending,840.29
370,7,19,Thali,2024-11-11,19:46:00,Pending,631.15
371,12,18,Biryani,2025-08-21,12:46:00,Confirmed,762.23
372,9,23,Noodles,2025-04-01,18:13:00,Cancelled,1068.45
373,26,42,Pasta,2025-04-17,19:33:00,Delivered,1380.53
374,1,29,Sandwich,2024-12-01,11:38:00,Confirmed,1378.75
375,27,42,Burger,2025-02-25,20:31:00,Delivered,1097.6
376,9,15,Burger,2024-12-25,21:57:00,Delivered,921.78
377,20,21,Biryani,2025-05-23,15:33:00,Confirmed,646.42
378,32,59,Pasta,2024-11-28,14:58:00,Pending,1212.28
379,4,36,Salad,2024-10-15,12:19:00,Pending,980.26
380,4,13,Thali,2024-10-16,20:03:00,Delivered,164.19
381,29,35,Burger,2024-11-30,13:36:00,Confirmed,577.72
382,32,60,Noodles,2024-10-26,16:53:00,Cancelled,1497.55
383,26,9,Thali,2024-10-03,13:50:00,Delivered,591
384,28,68,Biryani,2025-04-03,19:51:00,Cancelled,312.61
385,4,23,Roll,2025-03-17,20:13:00,Confirmed,1037.35
386,10,34,Thali,2024-12-18,14:56:00,Pending,366.25
387,16,24,Biryani,2025-04-23,14:47:00,Pending,495.34
388,33,69,Pizza,2024-10-29,12:51:00,Cancelled,1279.53
389,14,63,Sandwich,2024-11-22,11:09:00,Pending,178.23
390,4,23,Soup,2025-01-03,13:42:00,Confirmed,914.87
391,9,38,Soup,2025-04-26,17:15:00,Delivered,1059.35
392,14,26,Biryani,2025-03-23,16:21:00,Delivered,217.46
393,31,35,Pasta,2025-04-27,20:11:00,Confirmed,674.13
394,22,37,Soup,2025-05-20,16:16:00,Pending,540.06
395,30,24,Biryani,2025-04-12,11:13:00,Pending,950.95
396,19,50,Sandwich,2025-08-03,18:29:00,Delivered,738.54
397,21,42,Pizza,2024-09-24,20:28:00,Confirmed,633.64
398,27,1,Thali,2024-12-31,21:35:00,Confirmed,693.65
399,18,29,Pizza,2024-12-05,22:33:00,Cancelled,1296.97
400,21,64,Sandwich,2025-03-06,18:05:00,Delivered,1321.15
401,11,60,Sandwich,2025-05-01,13:26:00,Delivered,568.29
402,32,34,Pasta,2025-07-05,16:20:00,Confirmed,1219.35
403,12,44,Soup,2025-04-24,19:20:00,Pending,252.2
404,19,43,Roll,2025-03-31,20:13:00,Confirmed,1095.72
405,34,63,Noodles,2025-07-08,13:52:00,Pending,443.4
406,17,24,Noodles,2024-11-19,18:27:00,Pending,1438.64
407,24,21,Sandwich,2025-04-17,11:23:00,Pending,1181.04
408,15,4,Pizza,2024-10-13,15:38:00,Cancelled,1108.14
409,28,62,Salad,2025-06-20,15:54:00,Pending,1352.35
410,24,23,Roll,2025-06-25,13:45:00,Confirmed,811.28
411,9,55,Thali,2025-08-17,10:30:00,Delivered,1063.67
412,10,2,Sandwich,2025-02-17,17:07:00,Delivered,409.4
413,2,69,Salad,2025-05-30,20:28:00,Pending,467.42
414,26,66,Pasta,2024-11-30,20:45:00,Delivered,630.81
415,23,43,Sandwich,2024-11-21,15:29:00,Confirmed,747.04
416,7,10,Pizza,2025-04-19,16:41:00,Pending,674.34
417,15,51,Burger,2025-05-05,15:27:00,Confirmed,872.4
418,29,34,Sandwich,2025-03-01,20:53:00,Confirmed,300.13
419,1,16,Roll,2025-03-09,11:15:00,Cancelled,1013.83
